baseline_path,authority,coverage,evidence,limits
.github/workflows/tests.yml,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
.gitignore,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
CITATION.cff,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
LICENSE_STATUS.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
Makefile,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
README.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
analysis_plans/figure1_uncertainty_2026-09-08.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
data/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
data/processed/core_figures/figure_01_panel_b.csv,current or supporting,all current plotted quantities replayed and compared,REPRODUCTION.md; figure component reports,Intervals distinguish fresh Figure1 from archived Figures3/4
data/processed/core_figures/figure_02_boundary_codes.csv,current or supporting,all current plotted quantities replayed and compared,REPRODUCTION.md; figure component reports,Intervals distinguish fresh Figure1 from archived Figures3/4
data/processed/core_figures/figure_03_size_scaling.csv,current or supporting,all current plotted quantities replayed and compared,REPRODUCTION.md; figure component reports,Intervals distinguish fresh Figure1 from archived Figures3/4
data/processed/core_figures/figure_04_conditioning_contrast.csv,current or supporting,all current plotted quantities replayed and compared,REPRODUCTION.md; figure component reports,Intervals distinguish fresh Figure1 from archived Figures3/4
data/processed/core_figures/figure_04_distance_decay.csv,current or supporting,all current plotted quantities replayed and compared,REPRODUCTION.md; figure component reports,Intervals distinguish fresh Figure1 from archived Figures3/4
data/record_bundle_manifest.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
docs/00_START_HERE.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/CLAIM_EVIDENCE_MAP.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/CODE_MAP.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/DATA_POLICY.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
docs/DIALOGUE_QUESTION_MAP.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/DIALOGUE_REPORT.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
