claim_id,claim,baseline_sources,independent_check,evidence_kind,outcome,limitations_and_population,minimum_necessary_correction,certainty,audit_evidence
M1,Complete central spectrum does not determine fresh-gate response,results/core_claims.csv:2; docs/THEORY.md neighboring-purity and four-purity equations; data/processed/core_figures/figure_01_panel_b.csv,Independent two-copy derivation; product/Bell and stabilizer constructions; all ten replacement contrasts,Analytical deduction; fresh physical checks; original-row reanalysis,SURVIVES,Stated ensemble-averaged probes and tested monitored families; rank/reference/support restrictions apply,Credit established response machinery; no core numerical correction,High,MATHEMATICS.md; FIGURE1.md; results/math_independent.json
M2,Neighboring purities determine Haar/uniform-Clifford response,results/core_claims.csv:3; docs/THEORY.md:235–244; src/boundary_susceptibility/response.py,Independent two-copy Haar contraction and generated Clifford average; response-weighted nine-code regression,Analytical deduction; independent dense computation; record reanalysis,SURVIVES; attribution incomplete,Observable is input-purity-normalized linear entropy; not a finite logarithmic Renyi increment; decomposition is not independent evidence,Add equation-level antecedents; correct response.py:4 label,High,MATHEMATICS.md; FIGURES23.md; LITERATURE.md
M3,Fixed-spectrum monitoring coefficients negative through n=256,results/core_claims.csv:4; studies/checkpoint_05/scripts/analyze_checkpoint05.py:15–74; data/processed/core_figures/figure_03_size_scaling.csv,16 pairwise-cell estimates cross-checked with explicit dummy WLS; all original interval quantiles and cluster SEs,Independent estimators on original records; archived uncertainty replay,SURVIVES as finite-size conditional evidence,At least 10 rows per rate cell and 3 rates per stratum; support/weights differ by size/rate/run; clustering by trajectory; no unconditional causality,Use coefficient rather than derivative on Figure 3 axis,High,FIGURES23.md; results/figures23_slopes.csv; results/figures23_support.csv; results/figures23_pair_weights.csv
M4,Finite-size conclusion replicates with disjoint seeds,results/core_claims.csv:5; studies/checkpoint_05/scripts/run_tableau_scaling.py:33–41; archived primary and independent_replication state rows,All 16 coefficients; seed enumeration; selected original trajectory replay,Independent seed audit; original-record reanalysis; source generation replay,SURVIVES,Independent seeds within one simulator/model; not independent implementation or external replication; no all-campaign rerun,None for retained scope,High,FIGURES23.md; SIMULATOR.md; results/simulator_archive_replay.json
M5,Paired near-minus-far suppression survives stricter eligibility,results/core_claims.csv:6; docs/NUMERICAL_METHODS.md:202–223; scripts/analysis/reassess_evidence.py:107–239,Exact reconstruction of all 75600 records; original/strict/common endpoints and support; fresh 5000 draw reassessment,Independent exact record reanalysis; source resampling,SURVIVES for selected paired populations,Original side sets vary; strict same-side analysis retains 4786 prestates; common six-distance population 4025; no universal ordering,Qualify principal-stratum shorthand in RUN_HISTORY:90–98,High,FIGURE4.md; results/figure4/figure4_summary.json; reproduced_evidence/paired_endpoint_bootstraps.csv
T1,Spectrum-preserving single-site projective Pauli measurement has nonpositive response change,results/core_claims.csv:7; docs/THEORY.md measurement corollary; docs/DIALOGUE_REPORT.md T1 discussion,"Independent stabilizer entropy proof with equality and outcome conditions; 4,602 eligible dense outcomes; excluded-scope counterexamples",Analytical proof; finite diagnostic search,SURVIVES restricted corollary,Pure stabilizer input; each outcome of nonzero Born probability; fixed central spectrum; Haar/uniform-Clifford ensemble-averaged probe. Equality iff both neighboring purities are unchanged,Credit elementary deduction from established identity; do not infer long-run trend or spatial order,High for proof under assumptions,MATHEMATICS.md; code/math_independent.py; results/math_independent.json
L1,Negative extrapolated sign stable under checked models,results/core_claims.csv:8; docs/EVIDENCE_REASSESSMENT.md; reassess_evidence.py:254–272,4 locked fits and 32 alternatives reconstructed with actual distinct weighting conventions; residuals and archived draw propagation,Independent fit replay; archived uncertainty,SURVIVES only model-dependent claim,Four sizes; primary Pauli residual Q 16.7832; support changes with n; finite model menu; not thermodynamic proof,None if current qualification retained,High arithmetic; limited extrapolative certainty,FIGURES23.md; results/figures23_finite_size_models.csv
L2,Single exponential with physical localization length 2.37 describes profile,results/core_claims.csv:9; results/historical_fit/; docs/EVIDENCE_REASSESSMENT.md:37–60,Fresh reassessment residual diagnostics and common-population profile; visual current figure inspection,Independent exact profile; source model diagnostics,CORRECTLY REJECTED in current main claim,Sparse tail and poor covariance-aware residuals; old fit retained only for provenance,Keep rejected fit historical; do not promote length or decay law,High,FIGURE4.md; FIGURE_RENDERING.md; reproduced_evidence/distance_fit_sensitivity.csv
L3,Susceptibility is a new MIPT order parameter,results/core_claims.csv:10; docs/SCOPE_AND_LIMITATIONS.md,Read claim boundaries; checked contextual crossing/hinge analyses,Source assessment; secondary record checks,CORRECTLY NOT CLAIMED,"No generic phase diagnostic, critical exponent or non-Clifford thermodynamic limit established",None; do not introduce this claim,High regarding lack of support,FIGURES23.md; LITERATURE.md
OBS,Definition is normalized linear-entropy change divided by INPUT central purity,docs/NOTATION.md; docs/THEORY.md observable definition; src/boundary_susceptibility/response.py,Re-derived swap/purity identity and compared finite logarithmic entropy change,Analytical deduction; dense examples,SURVIVES numerically and in main definitions,Finite average of log purity ratio is different; ensemble average occurs before dividing fixed input purity,Correct response.py:4 shorthand,High,MATHEMATICS.md
