claim_id,claim,status,evidence,scope_or_limitation
C05-01,The historical cumulative flow-balance ratio diagnoses the monitored transition.,REJECTED,Checkpoint 01–02 telescoping identity and independent stationary-circuit check.,Do not revive in manuscript.
C05-02,The complete central Schmidt spectrum alone determines the response to a fresh cross-cut gate.,REJECTED EXACTLY,Local-twirl response theorem includes neighboring-cut purities; fixed-spectrum simulations show distinct responses.,Exact for the stated linear-entropy response and probe average.
C05-03,"For Haar or uniform two-qubit Clifford probes, the response is a three-cut purity stencil.",ESTABLISHED EXACTLY,THEOREM_LOCAL_TWIRL_RESPONSE_OPERATOR.md; Clifford design validation.,Second-Renyi/linear-entropy response under the specified local average.
C05-04,Fixing S_m fixes the complete central Schmidt spectrum for pure stabilizer states.,ESTABLISHED EXACTLY,Flat-spectrum stabilizer lemma.,Stabilizer states only.
C05-05,"At exact fixed central spectrum, stronger monitoring lowers relative boundary susceptibility through n=256.",SUPPORTED — LOCKED PRIMARY,Projective-Z beta_n values are negative with all size-level CIs below zero.,Connected within-stratum trend; no single rank spans all p at n=256.
C05-06,The fixed-spectrum effect is consistent with a nonzero thermodynamic limit.,SUPPORTED,"Locked 1/n fit beta_infinity=-0.051758, 95% CI [-0.054534,-0.048898]; all reported sensitivity models retain negative sign.",Four sizes do not identify a universal correction exponent.
C05-07,The large-size result independently replicates.,SUPPORTED — INDEPENDENT SEED,"Projective-Z beta_infinity=-0.049163, 95% CI [-0.053398,-0.044669].","Same simulator and circuit family, disjoint seed and reduced trajectory count."
C05-08,The result is not tied to repeatedly measuring Z.,SUPPORTED — PROTOCOL REPLICATION,"Random-Pauli beta_infinity=-0.053190 primary and -0.051966 replication, both CIs below zero.",Both are projective Pauli monitoring within Clifford dynamics.
C05-09,The effect is stable across the three late probe times.,SUPPORTED,48/48 time-resolved estimates negative with 48/48 intervals below zero.,"tau=6,8,10 only."
C05-10,The susceptibility is a new MIPT order parameter.,NOT SUPPORTED,Suppression remains nonzero on both sides of the independent I3 crossing.,Frame as transition-sensitive microscopic response.
C05-11,The monitoring dependence changes near the independently located transition.,SUPPORTED — SECONDARY,All eight p=0.27 hinge slope-change intervals are positive; high-size I3 crossings near p=0.27.,Hinge fit is secondary/post-lock; no singularity or exponent claimed.
C05-12,For stabilizer states the exact relative response is a nine-state boundary-code function.,ESTABLISHED EXACTLY,THEOREM_STABILIZER_BOUNDARY_CODE.md.,Haar/uniform-Clifford linear-entropy probe response.
C05-13,Stronger monitoring reduces susceptibility by redistributing the boundary-code probabilities toward local entanglement maxima.,SUPPORTED AND EXACTLY DECOMPOSED,Boundary-code contribution sum reconstructs n=256 beta with error <1e-15.,Empirical redistribution in tested monitored Clifford ensembles.
C05-14,A cut-adjacent measurement suppresses the next response more than a far measurement when the complete central spectrum is unchanged.,SUPPORTED — PAIRED CAUSAL LOCATION EFFECT,"Near-minus-far=-0.047429, 95% CI [-0.049435,-0.045452]; all 9 cell effects negative.",Causal for measurement location on sampled pre-states within principal stratum delta S_m=0.
C05-15,The fixed-spectrum measurement-location effect is short-ranged.,SUPPORTED,"Distance fit xi=2.372, 95% CI [2.251,2.496].",Tested Clifford/projective-Z intervention and specified distances.
C05-16,"Without conditioning on the central spectrum, a near-cut measurement has the same sign.",REJECTED,"Unconditional near-minus-far=+0.071407, opposite to the fixed-spectrum effect.",Rank-collapse headroom explains sign reversal.
C05-17,A few bounded-window entropy summaries fully reconstruct the response.,REJECTED FOR TESTED SUMMARIES,"Substantial residual slopes remain for half-widths 1,2,4.",Does not test the complete local reduced stabilizer state.
C05-18,The simulator reproduces direct state-vector stabilizer observables.,VALIDATED,"256 comparisons at n=4,6,8,10; maximum reported discrepancy zero.",Validation grid and observables stated in METHODS_AND_DEFINITIONS.md.
C05-19,The result is universal for generic non-Clifford monitored circuits.,NOT ESTABLISHED,Checkpoint 04 had small-system non-Clifford intervention evidence; Checkpoint 05 thermodynamic arm is Clifford.,Optional targeted non-Clifford physical cross-check only.
C05-20,The project is ready for manuscript construction.,"YES, WITH EXTERNAL AUDIT","Exact theorem, large-size locked result, independent replication, mechanism, and paired intervention.",Independent theorem and novelty review required before submission.
