claim_id,claim,status,evidence,allowed_language,prohibited_language
C01,Cumulative unitary-measurement cancellation is a transition-specific flow-balance principle.,REJECTED,Telescoping identity and late-time ratios near one at all tested monitoring rates in Checkpoints 01-02.,Exclude from the paper.,Order parameter; universal balance law; transition locator.
C02,The complete central Schmidt spectrum determines the next cross-cut second-Renyi response.,REJECTED_BY_COUNTEREXAMPLE,Exact response theorem requires noncentral purities; fixed-spectrum states have systematically different responses.,The complete central spectrum is insufficient.,Entropy or the central spectrum fully specifies local entangling susceptibility.
C03,"At fixed rank-4 central spectrum, stronger monitoring suppresses the response across the tested families and probes.",SUPPORTED_FINITE_SIZE,15/15 locked pooled intervals below zero; 45/45 size-specific intervals below zero; all 30 adjacent point estimates negative.,Robust over the five tested finite-size circuit/measurement families and three probes.,Thermodynamically universal; proven for all monitored dynamics.
C04,The physical monitoring trend reverses after central-spectrum equalization.,SUPPORTED,For all five families the unmatched physical endpoint is positive and the equalized endpoint is negative.,A robust sign reversal in the tested models.,A phase-transition order parameter.
C05,The rank-4 intervention result replicates with an independent stochastic seed.,SUPPORTED,15/15 pooled intervals below zero; all 45 size point estimates and all 30 adjacent point estimates negative.,Independent-seed replication.,Blind or preregistered replication.
C06,The Clifford rank-4 result is unconditional over all physical trajectories.,NOT_SUPPORTED,Rank-4 eligibility is limited in several strongly monitored Clifford cells.,Conditional on rank at least four; supplemented by rank-2 robustness.,No selection limitation.
C07,A rank-2 intervention gives the same sign with broader Clifford support.,SUPPORTED_POST_HOC,"15/15 pooled, 45/45 size, and 30/30 adjacent intervals below zero.",Post-hoc rank-support robustness.,Locked primary or preregistered result.
C08,"For an arbitrary probe ensemble, expected post-gate purity is a two-copy response-operator expectation.",EXACT_THEOREM,"Swap-operator identity, independent of the numerical model.",Exact identity.,Novelty of the general swap formalism.
C09,A locally dressed fixed two-qubit gate has an exact four-purity response stencil.,EXACT_THEOREM,"Local two-copy twirl onto span{I,F_a,F_b,F_aF_b}; direct numerical validation.",Exact under the stated local-dressing ensemble.,Every arbitrary gate ensemble reduces to four ordinary purities without symmetry.
C10,The four stencil coefficients are determined by entangling power and gate typicality.,EXACT_IDENTITY_VALIDATED,100 Haar-random gates; maximum coefficient discrepancy 1.17e-15.,Exact under the stated normalized invariant definitions.,Applies unchanged without local input twirling.
C11,Every locally dressed probe is suppressed at fixed spectrum in every primary family.,POST_HOC_PARTIAL,Point sufficient inequalities hold in all five families; bootstrap support for the second margin is complete in 3/5 primary and 5/5 rank-2 families.,Post-hoc gate-space extension with explicit uncertainty.,Locked all-gate universal claim.
C12,Dynamically reachable states reproduce the fixed-spectrum suppression without replacing Schmidt coefficients.,SUPPORTED_FOR_STABILIZER_STATES,"Exactly spectrum-matched monitored stabilizer states show negative slopes for both Z and random-Pauli monitoring, all three probes, all tested sizes, and an independent seed.",Physical exact-spectrum replication in monitored Clifford/stabilizer circuits.,Generic non-stabilizer physical replication.
C13,"In the physical stabilizer arm, stronger monitoring increases the neighboring-cut purity sum at fixed central spectrum.",SUPPORTED,Both protocols in the main and independent runs have positive confidence intervals; the exact response identity gives the corresponding negative susceptibility slopes.,A monitored-stabilizer state-side mechanism.,A causal effect conditional on post-dynamics rank.
C14,The effect locates or characterizes a measurement-induced critical point.,NOT_TESTED,"n<=14 in the intervention, three p values there, and no predeclared scaling analysis.",Monitoring dependence over the tested finite-size grid.,Critical exponent; order parameter; transition locator.
C15,Checkpoint 04 reproduces the unavailable historical simulator.,NOT_ESTABLISHED,All results use independently written simulators.,Independent reference implementation.,Exact reproduction of the historical generator.
