path,coverage,detail
.github/workflows/tests.yml,manual_full,manual inspection within simulator/completeness assignment
LICENSE_STATUS.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
README.md,manual_full,manual inspection within simulator/completeness assignment
data/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
data/record_bundle_manifest.json,manual_selected,complete member names and selected source identities; root validates everyhash
docs/00_START_HERE.md,manual_full,manual inspection within simulator/completeness assignment
docs/CLAIM_EVIDENCE_MAP.md,manual_full,manual inspection within simulator/completeness assignment
docs/CODE_MAP.md,manual_full,manual inspection within simulator/completeness assignment
docs/DATA_POLICY.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/DIALOGUE_QUESTION_MAP.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/DIALOGUE_REPORT.md,manual_selected,"definitions and Figure1 lines1-130, sources498-512, targeted references throughout; full scientific coverage delegated"
docs/EDITORIAL_POLICY.md,manual_full,manual inspection within simulator/completeness assignment
docs/EVIDENCE_REASSESSMENT.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/EXTENDED_RESULTS.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/FAQ.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/FIGURE1_CAPTION.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/FIGURE1_UNCERTAINTY.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/FIGURE1_UNCERTAINTY_PLAN.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/FIGURE1_UNCERTAINTY_REVIEW.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/FIGURE_BASELINE.md,manual_full,manual inspection within simulator/completeness assignment
docs/NOTATION.md,manual_full,manual inspection within simulator/completeness assignment
docs/NUMERICAL_METHODS.md,manual_full,manual inspection within simulator/completeness assignment
docs/PROJECT_GUIDE.md,manual_full,manual inspection within simulator/completeness assignment
docs/RELATED_WORK.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/REPRODUCIBILITY_LIMITS.md,manual_full,manual inspection within simulator/completeness assignment
docs/REPRODUCTION.md,manual_full,manual inspection within simulator/completeness assignment
docs/RESEARCH_HISTORY.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/RESULTS_AT_A_GLANCE.md,manual_full,manual inspection within simulator/completeness assignment
docs/RUN_HISTORY.md,manual_full,manual inspection within simulator/completeness assignment
docs/SCIENTIFIC_STORY.md,manual_full,manual inspection within simulator/completeness assignment
docs/SCOPE_AND_LIMITATIONS.md,manual_full,manual inspection within simulator/completeness assignment
docs/THEORY.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/TRANSITION_CONTEXT.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
docs/VALIDATION.md,manual_full,manual inspection within simulator/completeness assignment
figures/PALETTE.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
figures/README.md,manual_full,manual inspection within simulator/completeness assignment
materialize_studies.py,manual_full,manual inspection within simulator/completeness assignment
provenance/PUBLIC_RELEASE_CHECKLIST.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
provenance/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
provenance/SELF_CONTAINMENT.md,manual_full,manual inspection within simulator/completeness assignment
provenance/SOURCE_MIGRATION.md,manual_full,manual inspection within simulator/completeness assignment
provenance/study_source_map.csv,manual_selected,entry paths/hashes and relevant simulator entries
pyproject.toml,manual_full,manual inspection within simulator/completeness assignment
reproduce.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
requirements-reproducible.txt,manual_full,manual inspection within simulator/completeness assignment
requirements.txt,manual_full,manual inspection within simulator/completeness assignment
results/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
results/evidence_reassessment/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
results/figure1_uncertainty/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
results/historical_figure1/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
scripts/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
scripts/analysis/check_figure1_adoption.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/analysis/complete_figure1_uncertainty.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/analysis/reassess_evidence.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/analysis/reproduce_core_records.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/analysis/verify_figure1_uncertainty.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/figures/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
scripts/figures/export_formats.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/figures/figure_palette.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
